mesh_id,descriptor_name,tree_number,parent_tree_number,parent_id,parent_name
D005856,Germ-Free Life,G06.320,G06,D008827,Microbiological Phenomena
D008474,Medial Forebrain Bundle,A08.612.492,A08,D009420,Nervous System
D020532,Basal Nucleus of Meynert,A08.186.211.200.885.287.249.880.100,A08,D009420,Nervous System
D002830,Choroid Neoplasms,C04.588.364.978.223,C04,D009369,Neoplasms
D002830,Choroid Neoplasms,C11.319.494.198,C11,D005128,Eye Diseases
D016545,Choroid Plexus Neoplasms,C04.588.614.250.195.205.200,C04,D009369,Neoplasms
D016545,Choroid Plexus Neoplasms,C10.228.140.211.280.300,C10,D009422,Nervous System Diseases
D002276,Carcinoid Tumor,C04.557.465.625.650.200,C04,D009369,Neoplasms
D015811,Iris Neoplasms,C04.588.364.978.400,C04,D009369,Neoplasms
D015811,Iris Neoplasms,C11.319.494.400,C11,D005128,Eye Diseases
D013091,Spermatogenesis,G04.152.650.624,G04,D002468,Cell Physiological Phenomena
D013091,Spermatogenesis,G08.686.784.310.760,G08,D012101,Reproductive and Urinary Physiological Phenomena
D018862,Merkel Cells,A08.675.650.915.750.425,A08,D009420,Nervous System
D018862,Merkel Cells,A11.409.875,A11,D002477,Cells
D017573,Focal Epithelial Hyperplasia,C07.465.342,C07,D009057,Stomatognathic Diseases
D005464,Fluorobenzenes,D02.455.426.559.389.358,D02,D009930,Organic Chemicals
D012725,Sexual Behavior,F01.145.802,F01,D001520,Behavior and Behavior Mechanisms
D000788,"Angina Pectoris, Variant",C14.280.647.187.150.150,C14,D002318,Cardiovascular Diseases
D000788,"Angina Pectoris, Variant",C23.888.592.612.233.500.150.150,C23,D013568,"Pathological Conditions, Signs and Symptoms"
D012741,Sexual Maturation,G07.345.750.750,G07,D010829,Physiological Phenomena
D012741,Sexual Maturation,G08.686.841.750,G08,D012101,Reproductive and Urinary Physiological Phenomena
D012152,Rete Testis,A05.360.444.849.600,A05,D014566,Urogenital System
D013155,Spleen Focus-Forming Viruses,B04.613.807.375.525.850,B04,D014780,Viruses
D012151,Resuscitation,E02.365.647,E02,D013812,Therapeutics
D000099132,Perineuronal Nets,A11.284.295.310.775,A11,D002477,Cells
D055949,Vasa Previa,C12.050.703.420.952,C12,D000091642,Urogenital Diseases
D013459,Sulfur Hexafluoride,D01.303.350.300.900,D01,D007287,Inorganic Chemicals
D005204,Farnesol,D02.033.415.400,D02,D009930,Organic Chemicals
D005204,Farnesol,D10.289.400,D10,D008055,Lipids
D005837,"Genitalia, Male",A05.360.444,A05,D014566,Urogenital System
D014213,Tretoquinol,D03.633.100.531.085.888,D03,D006571,Heterocyclic Compounds
D008642,Mesenteric Veins,A07.015.908.670.385,A07,D002319,Cardiovascular System
D007715,Klippel-Trenaunay-Weber Syndrome,C14.907.077.410,C14,D002318,Cardiovascular Diseases
D008577,Meningeal Neoplasms,C04.588.614.250.580,C04,D009369,Neoplasms
D008577,Meningeal Neoplasms,C10.551.240.500,C10,D009422,Nervous System Diseases
D003230,Conjunctival Neoplasms,C04.588.364.235,C04,D009369,Neoplasms
D003230,Conjunctival Neoplasms,C11.187.169,C11,D005128,Eye Diseases
D000073859,Survivorship,F01.058.144.500,F01,D001520,Behavior and Behavior Mechanisms
D019513,Feminism,I01.880.604.473.374,I01,D012942,Social Sciences
D019513,Feminism,K01.752.566.479.174.700,K01,D006809,Humanities
D010710,Phosphates,D01.029.260.700.675.374,D01,D007287,Inorganic Chemicals
D029901,Maackia,B01.875.800.575.912.250.401.581,B01,D056890,Eukaryota
D004789,Enzyme Activation,G02.111.263,G02,D055598,Chemical Phenomena
D004789,Enzyme Activation,G03.328,G03,D008660,Metabolism
D013662,Tea,D20.215.784.844,D20,D045424,Complex Mixtures
D013662,Tea,G07.203.100.831,G07,D010829,Physiological Phenomena
D013662,Tea,J02.200.831,J02,D019602,Food and Beverages
D054884,Host-Pathogen Interactions,G06.462,G06,D008827,Microbiological Phenomena
D054884,Host-Pathogen Interactions,G16.527.200,G16,D001686,Biological Phenomena
D053122,"Influenza A Virus, H3N2 Subtype",B04.820.480.968.405.400.300,B04,D014780,Viruses
D012169,Retinal Vein,A07.015.611.773,A07,D002319,Cardiovascular System
D000085202,Emotional Abuse,I01.880.735.305,I01,D012942,Social Sciences
D042662,"Vascular Endothelial Growth Factor, Endocrine-Gland-Derived",D12.644.276.100.800.600,D12,D000602,"Amino Acids, Peptides, and Proteins"
D042662,"Vascular Endothelial Growth Factor, Endocrine-Gland-Derived",D23.529.100.800.600,D23,D001685,Biological Factors
D000066550,Physical Abuse,I01.198.240.856.688,I01,D012942,Social Sciences
D000069459,"Teas, Herbal",D20.215.784.937,D20,D045424,Complex Mixtures
D000069459,"Teas, Herbal",G07.203.100.950,G07,D010829,Physiological Phenomena
D000069459,"Teas, Herbal",J02.200.950,J02,D019602,Food and Beverages
D014118,"Toxins, Biological",D23.946,D23,D001685,Biological Factors
D014511,Uremia,C12.050.351.968.419.936,C12,D000091642,Urogenital Diseases
D012045,"Regulatory Sequences, Nucleic Acid",G02.111.570.080.689,G02,D055598,Chemical Phenomena
D012045,"Regulatory Sequences, Nucleic Acid",G05.360.080.689,G05,D055614,Genetic Phenomena
D056724,"Immunity, Humoral",G12.450.050.420,G12,D055633,Immune System Phenomena
D010756,Phosphoric Acids,D01.029.260.700.675,D01,D007287,Inorganic Chemicals
D003674,Defense Mechanisms,F01.393,F01,D001520,Behavior and Behavior Mechanisms
D012329,"RNA, Bacterial",D13.444.735.473,D13,D009706,"Nucleic Acids, Nucleotides, and Nucleosides"
D000917,Antibody Formation,G12.450.050.370.250,G12,D055633,Immune System Phenomena
D000067073,Psychological Trauma,F03.950.750.375,F03,D001523,Mental Disorders
D000069981,Escherichia coli O104,B03.440.450.425.325.300.800.250.250,B03,D001419,Bacteria
D019453,Escherichia coli O157,B03.440.450.425.325.300.800.250.500,B03,D001419,Bacteria
D003463,Cues,F02.463.425.234,F02,D011579,Psychological Phenomena
D004926,Escherichia coli,B03.440.450.425.325.300,B03,D001419,Bacteria
D020758,Spinal Cord Vascular Diseases,C10.228.854.785,C10,D009422,Nervous System Diseases
D020758,Spinal Cord Vascular Diseases,C14.907.790,C14,D002318,Cardiovascular Diseases
D005770,Gastrointestinal Neoplasms,C04.588.274.476,C04,D009369,Neoplasms
D005770,Gastrointestinal Neoplasms,C06.301.371,C06,D004066,Digestive System Diseases
D053118,"Influenza A Virus, H1N1 Subtype",B04.820.480.968.405.400.214,B04,D014780,Viruses
D055807,Stalking,F01.145.126.950.500,F01,D001520,Behavior and Behavior Mechanisms
D055807,Stalking,I01.880.735.223.500,I01,D012942,Social Sciences
D055669,Ecological and Environmental Phenomena,G16.500,G16,D001686,Biological Phenomena
D000081084,Accidental Injuries,C26.040,C26,D014947,Wounds and Injuries
D004305,"Dose-Response Relationship, Drug",G07.690.773.875,G07,D010829,Physiological Phenomena
D043182,Carboxylesterase,D08.811.277.352.100.100,D08,D045762,Enzymes and Coenzymes
D019800,Phenol,D02.455.426.559.389.657.595,D02,D009930,Organic Chemicals
D000069460,"Teas, Medicinal",G07.203.100.975,G07,D010829,Physiological Phenomena
D000069460,"Teas, Medicinal",J02.200.975,J02,D019602,Food and Beverages
D010444,Peptide Elongation Factor Tu,D08.811.277.040.330.300.100.700,D08,D045762,Enzymes and Coenzymes
D010444,Peptide Elongation Factor Tu,D12.776.157.325.150.700,D12,D000602,"Amino Acids, Peptides, and Proteins"
D012170,Retinal Vein Occlusion,C11.768.760,C11,D005128,Eye Diseases
D012170,Retinal Vein Occlusion,C14.907.355.830.925.650,C14,D002318,Cardiovascular Diseases
D000090062,Kruppel-Like Factor 4,D12.776.260.522.532,D12,D000602,"Amino Acids, Peptides, and Proteins"
D005798,"Genes, Bacterial",G05.360.340.024.340.364.249,G05,D055614,Genetic Phenomena
D057772,Vascular System Injuries,C14.907.937,C14,D002318,Cardiovascular Diseases
D057772,Vascular System Injuries,C26.940,C26,D014947,Wounds and Injuries
D010636,Phenols,D02.455.426.559.389.657,D02,D009930,Organic Chemicals
D008568,Memory,F02.463.425.540,F02,D011579,Psychological Phenomena
D014796,Visual Perception,F02.463.593.932,F02,D011579,Psychological Phenomena
D038621,"Regulatory Sequences, Ribonucleic Acid",D13.444.735.790.878.942,D13,D009706,"Nucleic Acids, Nucleotides, and Nucleosides"
D038621,"Regulatory Sequences, Ribonucleic Acid",G02.111.570.080.689.687,G02,D055598,Chemical Phenomena
D038621,"Regulatory Sequences, Ribonucleic Acid",G05.360.080.689.687,G05,D055614,Genetic Phenomena
D036385,Ephrin-A4,D09.400.430.890.448.330,D09,D002241,Carbohydrates
D036385,Ephrin-A4,D12.644.276.500.400,D12,D000602,"Amino Acids, Peptides, and Proteins"
D036385,Ephrin-A4,D23.529.500.400,D23,D001685,Biological Factors
D011939,Mental Recall,F02.463.425.540.641,F02,D011579,Psychological Phenomena
D018082,Kringles,G02.111.570.820.709.275.750.375,G02,D055598,Chemical Phenomena
D018892,Proton-Motive Force,G02.765,G02,D055598,Chemical Phenomena
D018892,Proton-Motive Force,G03.295.770,G03,D008660,Metabolism
D014951,"Wounds, Stab",C26.986.950,C26,D014947,Wounds and Injuries
D000099313,Non-Melanoma Skin Neoplasms,C04.557.470.200.649,C04,D009369,Neoplasms
D000099313,Non-Melanoma Skin Neoplasms,C17.800.882.623,C17,D017437,Skin and Connective Tissue Diseases
D020536,Enzyme Activators,D27.505.519.374,D27,D020164,Chemical Actions and Uses
D004790,Enzyme Induction,G05.308.320.200,G05,D055614,Genetic Phenomena
D014110,Touch,F02.830.816.850,F02,D011579,Psychological Phenomena
D014110,Touch,G11.561.790.850,G11,D055687,Musculoskeletal and Neural Physiological Phenomena
D009897,Optic Chiasm,A08.186.211.200.317.578,A08,D009420,Nervous System
D000067570,Social Learning,F02.784.629.529.663,F02,D011579,Psychological Phenomena
D042561,Vascular Endothelial Growth Factor B,D12.644.276.100.800.300,D12,D000602,"Amino Acids, Peptides, and Proteins"
D042561,Vascular Endothelial Growth Factor B,D23.529.100.800.300,D23,D001685,Biological Factors
D006510,Hepatitis B Antibodies,D12.776.124.486.485.114.254.450.504,D12,D000602,"Amino Acids, Peptides, and Proteins"
D012931,Social Environment,I01.880.853.500,I01,D012942,Social Sciences
D011589,"Psychology, Experimental",F04.096.628.729,F04,D004191,Behavioral Disciplines and Activities
D017553,Phosphorus Compounds,D01.695,D01,D007287,Inorganic Chemicals
D016157,Vascular Fistula,C14.240.850.984,C14,D002318,Cardiovascular Diseases
D016157,Vascular Fistula,C23.300.575.950,C23,D013568,"Pathological Conditions, Signs and Symptoms"
D013659,Tax Equity and Fiscal Responsibility Act,N03.219.900.880,N03,D004472,Health Care Economics and Organizations
D014167,"Transference, Psychology",F04.754.720.864,F04,D004191,Behavioral Disciplines and Activities
D010757,Phosphorous Acids,D01.029.260.700.700,D01,D007287,Inorganic Chemicals
D064231,Nestin,D05.750.078.593.540,D05,D046911,Macromolecular Substances
D064231,Nestin,D12.776.220.475.540,D12,D000602,"Amino Acids, Peptides, and Proteins"
D001254,Astrocytoma,C04.557.465.625.600.380.080,C04,D009369,Neoplasms
D036384,Ephrin-A3,D09.400.430.890.448.320,D09,D002241,Carbohydrates
D036384,Ephrin-A3,D12.644.276.500.300,D12,D000602,"Amino Acids, Peptides, and Proteins"
D036384,Ephrin-A3,D23.529.500.300,D23,D001685,Biological Factors
D004193,Discrimination Learning,F02.463.425.280,F02,D011579,Psychological Phenomena
D008570,"Memory, Short-Term",F02.463.425.540.407,F02,D011579,Psychological Phenomena
D064702,"International Classification of Functioning, Disability and Health",L01.462.750.245.945.450,L01,D007254,Information Science
D006505,Hepatitis,C06.552.380,C06,D004066,Digestive System Diseases
D004854,"Herpesvirus 4, Human",B04.280.210.400.500.450,B04,D014780,Viruses
D034941,Upper Extremity,A01.378.800,A01,D001829,Body Regions
D058605,Host-Derived Cellular Factors,D23.297,D23,D001685,Biological Factors
D000097668,Pseudomonas aeruginosa Exotoxin A,D08.811.913.400.725.115.826,D08,D045762,Enzymes and Coenzymes
D000097668,Pseudomonas aeruginosa Exotoxin A,D23.946.123.574,D23,D001685,Biological Factors
D006978,"Hypertension, Renovascular",C12.050.351.968.419.331.490,C12,D000091642,Urogenital Diseases
D006978,"Hypertension, Renovascular",C14.907.489.631.485,C14,D002318,Cardiovascular Diseases
D014641,Vanillic Acid,D02.241.223.100.300.350.875,D02,D009930,Organic Chemicals
D018280,"Carcinoma, Skin Appendage",C04.557.470.200.025.420,C04,D009369,Neoplasms
D000076662,Host Microbial Interactions,G06.373,G06,D008827,Microbiological Phenomena
D000076662,Host Microbial Interactions,G16.527,G16,D001686,Biological Phenomena
D015854,Up-Regulation,G02.111.905,G02,D055598,Chemical Phenomena
D015854,Up-Regulation,G05.308.850,G05,D055614,Genetic Phenomena
D015854,Up-Regulation,G07.690.773.998,G07,D010829,Physiological Phenomena
D004550,Elbow,A01.378.800.420,A01,D001829,Body Regions
D007858,Learning,F02.463.425,F02,D011579,Psychological Phenomena
D004219,District of Columbia,Z01.107.567.875.500.210,Z01,D005842,Geographic Locations
D032442,Larrea,B01.875.800.575.912.250.987.399,B01,D056890,Eukaryota
D000084522,T Follicular Helper Cells,A11.118.637.555.567.550.500.400.450,A11,D002477,Cells
D000084522,T Follicular Helper Cells,A15.145.229.637.555.567.550.500.400.250,A15,D006424,Hemic and Immune Systems
D001245,Association Learning,F02.463.425.069.296,F02,D011579,Psychological Phenomena
D040921,"Stress Disorders, Traumatic",F03.950.750,F03,D001523,Mental Disorders
D014949,"Wounds, Nonpenetrating",C26.974,C26,D014947,Wounds and Injuries
D014670,Ampulla of Vater,A03.159.183.079.300.950,A03,D004064,Digestive System
D014652,Vascular Diseases,C14.907,C14,D002318,Cardiovascular Diseases
D020502,Terminology,V02.938,V02,D052180,Publication Formats
D064420,Drug-Related Side Effects and Adverse Reactions,C25.100,C25,D064419,Chemically-Induced Disorders
D007925,Leriche Syndrome,C14.907.109.661,C14,D002318,Cardiovascular Diseases
D000086103,Negative-Sense RNA Viruses,B04.820.480,B04,D014780,Viruses
D015861,Retinal Neovascularization,C11.768.725,C11,D005128,Eye Diseases
D015861,Retinal Neovascularization,C23.550.589.500.725,C23,D013568,"Pathological Conditions, Signs and Symptoms"
D050220,Glugea,B01.300.360.500.500.600.400,B01,D056890,Eukaryota
D054079,Vascular Malformations,C14.240.850,C14,D002318,Cardiovascular Diseases
D054079,Vascular Malformations,C16.131.240.850,C16,D009358,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
D006975,"Hypertension, Portal",C06.552.494,C06,D004066,Digestive System Diseases
D003216,"Conditioning, Operant",F02.463.425.179.509,F02,D011579,Psychological Phenomena
D015533,Transcriptional Activation,G05.308.800,G05,D055614,Genetic Phenomena
D020785,Central Nervous System Vascular Malformations,C10.500.190,C10,D009422,Nervous System Diseases
D020785,Central Nervous System Vascular Malformations,C14.240.850.875,C14,D002318,Cardiovascular Diseases
D020785,Central Nervous System Vascular Malformations,C16.131.240.850.875,C16,D009358,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
D055585,Physical Phenomena,G01,G01,D055585,Physical Phenomena
D065852,Spatial Memory,F02.463.425.540.886,F02,D011579,Psychological Phenomena
D011889,Rage,F01.470.093.640,F01,D001520,Behavior and Behavior Mechanisms
D004777,Environment,G16.500.275,G16,D001686,Biological Phenomena
D004777,Environment,N06.230,N06,D004778,Environment and Public Health
D001159,Arterio-Arterial Fistula,C14.240.850.984.500,C14,D002318,Cardiovascular Diseases
D001159,Arterio-Arterial Fistula,C16.131.240.850.500,C16,D009358,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
D001159,Arterio-Arterial Fistula,C23.300.575.950.150,C23,D013568,"Pathological Conditions, Signs and Symptoms"
D005467,Floxuridine,D03.383.742.680.852.300.350,D03,D006571,Heterocyclic Compounds
D005467,Floxuridine,D13.570.230.430.432,D13,D009706,"Nucleic Acids, Nucleotides, and Nucleosides"
D015360,"Analgesia, Epidural",E03.091.080,E03,D000760,Anesthesia and Analgesia
D019437,Saint Kitts and Nevis,Z01.107.084.900.787,Z01,D005842,Geographic Locations
D035922,Hepatitis A Antibodies,D12.776.124.486.485.114.254.450.251,D12,D000602,"Amino Acids, Peptides, and Proteins"
D013341,Sturge-Weber Syndrome,C04.557.645.375.850,C04,D009369,Neoplasms
D013341,Sturge-Weber Syndrome,C10.562.800,C10,D009422,Nervous System Diseases
D013341,Sturge-Weber Syndrome,C14.907.077.850,C14,D002318,Cardiovascular Diseases
D012511,Sarcoma 37,C04.557.450.795.830.760,C04,D009369,Neoplasms
D000083663,Social Factors,I01.880.853.996.877,I01,D012942,Social Sciences
D000072258,Tumor Hypoxia,G03.197.300.500,G03,D008660,Metabolism
D000072258,Tumor Hypoxia,G04.270.300.500,G04,D002468,Cell Physiological Phenomena
D012171,Retinal Vessels,A07.015.611,A07,D002319,Cardiovascular System
D003643,Death,C23.550.260,C23,D013568,"Pathological Conditions, Signs and Symptoms"
D003120,Colorado,Z01.107.567.875.760.210,Z01,D005842,Geographic Locations
D005233,Fatty Alcohols,D02.033.415,D02,D009930,Organic Chemicals
D005233,Fatty Alcohols,D10.289,D10,D008055,Lipids
D036383,Ephrin-A2,D09.400.430.890.448.310,D09,D002241,Carbohydrates
D036383,Ephrin-A2,D12.644.276.500.200,D12,D000602,"Amino Acids, Peptides, and Proteins"
D036383,Ephrin-A2,D23.529.500.200,D23,D001685,Biological Factors
D000070625,"Brain Injuries, Diffuse",C10.228.140.199.388,C10,D009422,Nervous System Diseases
D000070625,"Brain Injuries, Diffuse",C26.915.300.200.188,C26,D014947,Wounds and Injuries
D006881,Hydroxyacetylaminofluorene,D02.065.064.150.400,D02,D009930,Organic Chemicals
D006881,Hydroxyacetylaminofluorene,D04.615.389.050.400,D04,D011083,Polycyclic Compounds
D055882,"Nevus, Halo",C04.557.665.560.580,C04,D009369,Neoplasms
D037521,Virulence Factors,D23.946.896,D23,D001685,Biological Factors
D055255,Mesopic Vision,F02.830.816.964.186,F02,D011579,Psychological Phenomena
D055255,Mesopic Vision,G11.561.790.964.186,G11,D055687,Musculoskeletal and Neural Physiological Phenomena
D055255,Mesopic Vision,G14.935.186,G14,D009799,Ocular Physiological Phenomena
D002596,Chad,Z01.058.290.100.130,Z01,D005842,Geographic Locations
D000075723,Kruppel-Like Factor 6,D12.776.260.522.563,D12,D000602,"Amino Acids, Peptides, and Proteins"
D006790,Host-Parasite Interactions,G16.527.200.400,G16,D001686,Biological Phenomena
D060907,V-Set Domain-Containing T-Cell Activation Inhibitor 1,D12.776.467.150.900,D12,D000602,"Amino Acids, Peptides, and Proteins"
D060907,V-Set Domain-Containing T-Cell Activation Inhibitor 1,D23.050.301.285.900,D23,D001685,Biological Factors
D005239,Fear,F01.470.361,F01,D001520,Behavior and Behavior Mechanisms
D017530,"Health Care Quality, Access, and Evaluation",N05,N05,D017530,"Health Care Quality, Access, and Evaluation"
D014158,"Transcription, Genetic",G02.111.873,G02,D055598,Chemical Phenomena
D014158,"Transcription, Genetic",G05.297.700,G05,D055614,Genetic Phenomena
D060048,Slipped Capital Femoral Epiphyses,C05.116.099.708.928,C05,D009140,Musculoskeletal Diseases
D017063,"Outcome Assessment, Health Care",H01.770.644.145.431,H01,D010811,Natural Science Disciplines
D017063,"Outcome Assessment, Health Care",N04.761.559.590,N04,D006298,Health Services Administration
D017063,"Outcome Assessment, Health Care",N05.715.360.575.575,N05,D017530,"Health Care Quality, Access, and Evaluation"
D004190,Disasters,N06.230.100,N06,D004778,Environment and Public Health
D000073659,Gain of Function Mutation,G05.365.590.288,G05,D055614,Genetic Phenomena
D010902,Pituitary Gland,A06.300.747,A06,D004703,Endocrine System
D010902,Pituitary Gland,A08.186.211.180.497.352.435.500,A08,D009420,Nervous System
D000089,Acetic Anhydrides,D02.113.075,D02,D009930,Organic Chemicals
D000085,Acetates,D02.241.081.018,D02,D009930,Organic Chemicals
D000085,Acetates,D10.251.400.045,D10,D008055,Lipids
D017350,N-Acetylgalactosaminyltransferases,D08.811.913.400.100.200,D08,D045762,Enzymes and Coenzymes
D015238,Sulfotransferases,D08.811.913.817.400,D08,D045762,Enzymes and Coenzymes
D002820,"Hydatidiform Mole, Invasive",C04.557.465.955.416.812.500,C04,D009369,Neoplasms
D002820,"Hydatidiform Mole, Invasive",C12.050.703.720.949.416.875.500,C12,D000091642,Urogenital Diseases
D006828,Hydatidiform Mole,C04.557.465.955.416.812,C04,D009369,Neoplasms
D006828,Hydatidiform Mole,C12.050.703.720.949.416.875,C12,D000091642,Urogenital Diseases
D019342,Acetic Acid,D02.241.081.018.165,D02,D009930,Organic Chemicals
D019342,Acetic Acid,D10.251.400.045.500,D10,D008055,Lipids
D001480,Basal Ganglia Diseases,C10.228.140.079,C10,D009422,Nervous System Diseases
D014594,Uterine Neoplasms,C04.588.945.418.948,C04,D009369,Neoplasms
D014594,Uterine Neoplasms,C12.050.351.500.852.762,C12,D000091642,Urogenital Diseases
D011252,"Pregnancy Complications, Neoplastic",C04.850,C04,D009369,Neoplasms
D011252,"Pregnancy Complications, Neoplastic",C12.050.703.720,C12,D000091642,Urogenital Diseases
D000178,Acrylamides,D02.065.122,D02,D009930,Organic Chemicals
D016631,Lewy Bodies,A11.284.420.460,A11,D002477,Cells
D012137,Respiratory System,A04,A04,D012137,Respiratory System
D002908,Chronic Disease,C23.550.291.500,C23,D013568,"Pathological Conditions, Signs and Symptoms"
D012138,Respiratory Therapy,E02.880,E02,D013812,Therapeutics
D001991,Bronchitis,C01.748.099,C01,D007239,Infections
D001991,Bronchitis,C08.127.446,C08,D012140,Respiratory Tract Diseases
D015657,Respiratory Transport,G03.143.775,G03,D008660,Metabolism
D015657,Respiratory Transport,G09.772.705.760,G09,D002943,Circulatory and Respiratory Physiological Phenomena
D012140,Respiratory Tract Diseases,C08,C08,D012140,Respiratory Tract Diseases
D016256,Lewis X Antigen,D23.050.285.050.050,D23,D001685,Biological Factors
D000099128,Respiratory Therapists,M01.526.485.870,M01,D009272,Persons
D001980,Bronchi,A04.411.125,A04,D012137,Respiratory System
D055745,Bronchioles,A04.411.125.500,A04,D012137,Respiratory System
D029481,"Bronchitis, Chronic",C01.748.099.567,C01,D007239,Infections
D029481,"Bronchitis, Chronic",C08.127.446.567,C08,D012140,Respiratory Tract Diseases
D029481,"Bronchitis, Chronic",C23.550.291.500.875.750,C23,D013568,"Pathological Conditions, Signs and Symptoms"
D001945,Breathing Exercises,E02.190.525.186,E02,D013812,Therapeutics
D012143,Respiratory Physiological Phenomena,G09.772,G09,D002943,Circulatory and Respiratory Physiological Phenomena
D012818,"Signs and Symptoms, Respiratory",C23.888.852,C23,D013568,"Pathological Conditions, Signs and Symptoms"
D003948,"Diagnostic Techniques, Respiratory System",E01.370.386,E01,D003933,Diagnosis
D019141,Respiratory System Agents,D27.505.954.796,D27,D020164,Chemical Actions and Uses
D002943,Circulatory and Respiratory Physiological Phenomena,G09,G09,D002943,Circulatory and Respiratory Physiological Phenomena
D001982,Bronchial Diseases,C08.127,C08,D012140,Respiratory Tract Diseases
D007983,Lewis Blood Group Antigens,D23.050.301.290.544,D23,D001685,Biological Factors
D012119,Respiration,G09.772.705,G09,D002943,Circulatory and Respiratory Physiological Phenomena
D012129,Respiratory Function Tests,E01.370.386.700,E01,D003933,Diagnosis
D001985,Bronchial Provocation Tests,E01.370.386.700.125,E01,D003933,Diagnosis
D013183,Sputum,A12.200.808,A12,D005441,Fluids and Secretions
D006763,"Hospitals, Chronic Disease",N02.278.421.556.200,N02,D005159,Health Care Facilities Workforce and Services
D001717,Birds,B01.050.150.900.248,B01,D056890,Eukaryota
D012141,Respiratory Tract Infections,C01.748,C01,D007239,Infections
D012141,Respiratory Tract Infections,C08.730,C08,D012140,Respiratory Tract Diseases
D008168,Lung,A04.411,A04,D012137,Respiratory System
D012120,Respiration Disorders,C08.618,C08,D012140,Respiratory Tract Diseases
D014691,Ventilation,N06.230.150.520,N06,D004778,Environment and Public Health
D015656,Respiratory Mechanics,G09.772.705.700,G09,D002943,Circulatory and Respiratory Physiological Phenomena
D000332,Aerobiosis,G02.111.017,G02,D055598,Chemical Phenomena
D000332,Aerobiosis,G03.049,G03,D008660,Metabolism
D012121,"Respiration, Artificial",E02.041.625,E02,D013812,Therapeutics
D001988,Bronchiolitis,C01.748.099.135,C01,D007239,Infections
D001988,Bronchiolitis,C08.127.446.135,C08,D012140,Respiratory Tract Diseases
D008173,"Lung Diseases, Obstructive",C08.381.495,C08,D012140,Respiratory Tract Diseases
D012144,Respite Care,E02.760.611.470.610,E02,D013812,Therapeutics
D012144,Respite Care,N02.421.143.524.470.610,N02,D005159,Health Care Facilities Workforce and Services
D001986,Bronchial Spasm,C08.127.321,C08,D012140,Respiratory Tract Diseases
D011652,Pulmonary Circulation,G09.330.100.770,G09,D002943,Circulatory and Respiratory Physiological Phenomena
D012124,Respiratory Care Units,N02.278.388.493.696,N02,D005159,Health Care Facilities Workforce and Services
D003550,Cystic Fibrosis,C06.689.202,C06,D004066,Digestive System Diseases
D003550,Cystic Fibrosis,C08.381.187,C08,D012140,Respiratory Tract Diseases
D003550,Cystic Fibrosis,C16.320.190,C16,D009358,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
D058116,Lewis Acids,D01.029.630,D01,D007287,Inorganic Chemicals
D058116,Lewis Acids,D02.561,D02,D009930,Organic Chemicals
D010102,Oxygen Inhalation Therapy,E02.880.690,E02,D013812,Therapeutics
D000079662,Chronic Disease Indicators,E05.318.308.980.438.475.411,E05,D008919,Investigative Techniques
D000079662,Chronic Disease Indicators,N05.715.360.300.800.438.375.091,N05,D017530,"Health Care Quality, Access, and Evaluation"
D000079662,Chronic Disease Indicators,N06.850.520.308.980.438.475.023,N06,D004778,Environment and Public Health
D014136,Tracheitis,C01.748.848,C01,D007239,Infections
D014136,Tracheitis,C08.730.848,C08,D012140,Respiratory Tract Diseases
D012123,Pulmonary Ventilation,E01.370.386.700.660,E01,D003933,Diagnosis
D012123,Pulmonary Ventilation,G09.772.650,G09,D002943,Circulatory and Respiratory Physiological Phenomena
D045853,Exhalation,G09.772.705.700.275,G09,D002943,Circulatory and Respiratory Physiological Phenomena
D016156,Respiratory Tract Fistula,C08.702,C08,D012140,Respiratory Tract Diseases
D016156,Respiratory Tract Fistula,C23.300.575.687,C23,D013568,"Pathological Conditions, Signs and Symptoms"
D046092,Columbiformes,B01.050.150.900.248.165,B01,D056890,Eukaryota
D016535,Bronchial Hyperreactivity,C08.127.210,C08,D012140,Respiratory Tract Diseases
D003440,Croup,C08.360.535.365,C08,D012140,Respiratory Tract Diseases
D003440,Croup,C09.400.535.365,C09,D010038,Otorhinolaryngologic Diseases
D001239,Inhalation,G09.772.705.700.390,G09,D002943,Circulatory and Respiratory Physiological Phenomena
D004825,Epiglottis,A02.165.257.625.411,A02,D009141,Musculoskeletal System
D004825,Epiglottis,A04.329.591.411,A04,D012137,Respiratory System
D012122,"Ventilators, Mechanical",E07.950,E07,D004864,Equipment and Supplies
D000088343,Respiratory Aerosols and Droplets,A12.200.617,A12,D005441,Fluids and Secretions
D018827,"Carcinoma, Lewis Lung",C04.557.470.200.280,C04,D009369,Neoplasms
D056189,Viral Tropism,G06.920.863,G06,D008827,Microbiological Phenomena
D056189,Viral Tropism,G07.443.500,G07,D010829,Physiological Phenomena
D012125,Respiratory Center,A08.186.211.132.772.646,A08,D009420,Nervous System
D057691,Entosis,G04.165.750,G04,D002468,Cell Physiological Phenomena
D015619,Respiratory System Abnormalities,C08.695,C08,D012140,Respiratory Tract Diseases
D015619,Respiratory System Abnormalities,C16.131.740,C16,D009358,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
